2020-01-26 14:09:34 pid:3786 worker[YourAppGateway:4019] exit with status 65280
2020-01-26 14:09:34 pid:3786 worker[Register:4020] exit with status 65280
2020-01-26 14:09:34 pid:3786 worker[YourAppGateway:4021] exit with status 65280
2020-01-26 14:09:34 pid:3786 worker[YourAppGateway:4022] exit with status 65280
2020-01-26 14:09:34 pid:3786 worker[YourAppGateway:4023] exit with status 65280
2020-01-26 14:09:34 pid:3786 worker[YourAppGateway:4024] exit with status 65280
2020-01-26 14:09:34 pid:3786 worker[Register:4025] exit with status 65280
2020-01-26 14:09:34 pid:3786 worker[YourAppGateway:4026] exit with status 65280
2020-01-26 14:09:34 pid:3786 worker[YourAppGateway:4027] exit with status 65280
2020-01-26 14:09:34 pid:3786 worker[YourAppGateway:4028] exit with status 65280
2020-01-26 14:09:34 pid:3786 worker[YourAppGateway:4029] exit with status 65280
2020-01-26 14:09:34 pid:3786 worker[Register:4030] exit with status 65280
2020-01-26 14:09:34 pid:3786 worker[YourAppGateway:4031] exit with status 65280
2020-01-26 14:09:34 pid:3786 worker[YourAppGateway:4032] exit with status 65280
2020-01-26 14:09:34 pid:3786 worker[YourAppGateway:4033] exit with status 65280
2020-01-26 14:09:34 pid:3786 worker[YourAppGateway:4034] exit with status 65280
2020-01-26 14:09:34 pid:3786 worker[Register:4035] exit with status 65280
2020-01-26 14:09:34 pid:3786 worker[YourAppGateway:4036] exit with status 65280
2020-01-26 14:09:34 pid:3786 worker[YourAppGateway:4037] exit with status 65280
2020-01-26 14:09:34 pid:3786 worker[YourAppGateway:4038] exit with status 65280
2020-01-26 14:09:34 pid:3786 worker[YourAppGateway:4039] exit with status 65280
2020-01-26 14:09:34 pid:3786 worker[Register:4040] exit with status 65280
2020-01-26 14:09:34 pid:3786 worker[YourAppGateway:4041] exit with status 65280
2020-01-26 14:09:34 pid:3786 worker[YourAppGateway:4042] exit with status 65280
2020-01-26 14:09:34 pid:3786 worker[YourAppGateway:4043] exit with status 65280
2020-01-26 14:09:34 pid:3786 worker[YourAppGateway:4044] exit with status 65280
2020-01-26 14:09:34 pid:3786 worker[Register:4045] exit with status 65280
2020-01-26 14:09:34 pid:3786 worker[YourAppGateway:4046] exit with status 65280
2020-01-26 14:09:34 pid:3786 worker[YourAppGateway:4047] exit with status 65280
2020-01-26 14:09:34 pid:3786 worker[YourAppGateway:4048] exit with status 65280
2020-01-26 14:09:34 pid:3786 worker[YourAppGateway:4049] exit with status 65280
2020-01-26 14:09:34 pid:3786 worker[Register:4050] exit with status 65280
2020-01-26 14:09:34 pid:3786 worker[YourAppGateway:4051] exit with status 65280
2020-01-26 14:09:34 pid:3786 worker[YourAppGateway:4052] exit with status 65280
2020-01-26 14:09:34 pid:3786 worker[YourAppGateway:4053] exit with status 65280
2020-01-26 14:09:34 pid:3786 worker[YourAppGateway:4054] exit with status 65280
2020-01-26 14:09:35 pid:3786 worker[Register:4055] exit with status 65280
2020-01-26 14:09:35 pid:3786 worker[YourAppGateway:4056] exit with status 65280
2020-01-26 14:09:35 pid:3786 worker[YourAppGateway:4057] exit with status 65280
2020-01-26 14:09:35 pid:3786 worker[YourAppGateway:4058] exit with status 65280
2020-01-26 14:09:35 pid:3786 worker[YourAppGateway:4059] exit with status 65280
2020-01-26 14:09:35 pid:3786 worker[Register:4060] exit with status 65280
2020-01-26 14:09:35 pid:3786 worker[YourAppGateway:4061] exit with status 65280
2020-01-26 14:09:35 pid:3786 worker[YourAppGateway:4062] exit with status 65280
2020-01-26 14:09:35 pid:3786 worker[YourAppGateway:4063] exit with status 65280
2020-01-26 14:09:35 pid:3786 worker[YourAppGateway:4064] exit with status 65280
2020-01-26 14:09:35 pid:3786 worker[Register:4065] exit with status 65280
2020-01-26 14:09:35 pid:3786 worker[YourAppGateway:4066] exit with status 65280
2020-01-26 14:09:35 pid:3786 worker[YourAppGateway:4067] exit with status 65280
2020-01-26 14:09:35 pid:3786 worker[YourAppGateway:4068] exit with status 65280
2020-01-26 14:09:35 pid:3786 worker[YourAppGateway:4069] exit with status 65280
2020-01-26 14:09:35 pid:3786 worker[Register:4070] exit with status 65280
2020-01-26 14:09:35 pid:3786 worker[YourAppGateway:4071] exit with status 65280
2020-01-26 14:09:35 pid:3786 worker[YourAppGateway:4072] exit with status 65280
2020-01-26 14:09:35 pid:3786 worker[YourAppGateway:4073] exit with status 65280
2020-01-26 14:09:35 pid:3786 worker[YourAppGateway:4074] exit with status 65280
2020-01-26 14:09:35 pid:3786 worker[Register:4075] exit with status 65280
2020-01-26 14:09:35 pid:3786 worker[YourAppGateway:4076] exit with status 65280
2020-01-26 14:09:35 pid:3786 worker[YourAppGateway:4077] exit with status 65280
2020-01-26 14:09:35 pid:3786 worker[YourAppGateway:4078] exit with status 65280
2020-01-26 14:09:35 pid:3786 worker[YourAppGateway:4079] exit with status 65280
2020-01-26 14:09:35 pid:3786 worker[Register:4080] exit with status 65280
2020-01-26 14:09:35 pid:3786 worker[YourAppGateway:4081] exit with status 65280
2020-01-26 14:09:35 pid:3786 worker[YourAppGateway:4082] exit with status 65280
2020-01-26 14:09:35 pid:3786 worker[YourAppGateway:4083] exit with status 65280
2020-01-26 14:09:35 pid:3786 worker[YourAppGateway:4084] exit with status 65280
2020-01-26 14:09:35 pid:3786 worker[Register:4085] exit with status 65280
2020-01-26 14:09:35 pid:3786 worker[YourAppGateway:4086] exit with status 65280
2020-01-26 14:09:35 pid:3786 worker[YourAppGateway:4087] exit with status 65280
2020-01-26 14:09:35 pid:3786 worker[YourAppGateway:4088] exit with status 65280
2020-01-26 14:09:35 pid:3786 worker[YourAppGateway:4089] exit with status 65280
2020-01-26 14:09:35 pid:3786 worker[Register:4090] exit with status 65280
2020-01-26 14:09:36 pid:3786 worker[YourAppGateway:4091] exit with status 65280
2020-01-26 14:09:36 pid:3786 worker[YourAppGateway:4092] exit with status 65280
2020-01-26 14:09:36 pid:3786 worker[YourAppGateway:4093] exit with status 65280
2020-01-26 14:09:36 pid:3786 worker[YourAppGateway:4094] exit with status 65280
2020-01-26 14:09:36 pid:3786 worker[Register:4095] exit with status 65280
2020-01-26 14:09:36 pid:3786 worker[YourAppGateway:4096] exit with status 65280
2020-01-26 14:09:36 pid:3786 worker[YourAppGateway:4097] exit with status 65280
2020-01-26 14:09:36 pid:3786 worker[YourAppGateway:4098] exit with status 65280
2020-01-26 14:09:36 pid:3786 worker[YourAppGateway:4099] exit with status 65280
2020-01-26 14:09:36 pid:3786 worker[Register:4100] exit with status 65280
2020-01-26 14:09:36 pid:3786 worker[YourAppGateway:4101] exit with status 65280
2020-01-26 14:09:36 pid:3786 worker[YourAppGateway:4102] exit with status 65280
2020-01-26 14:09:36 pid:3786 worker[YourAppGateway:4103] exit with status 65280
2020-01-26 14:09:36 pid:3786 worker[YourAppGateway:4104] exit with status 65280
2020-01-26 14:09:36 pid:3786 worker[Register:4105] exit with status 65280
2020-01-26 14:09:36 pid:3786 worker[YourAppGateway:4106] exit with status 65280
2020-01-26 14:09:36 pid:3786 worker[YourAppGateway:4107] exit with status 65280
2020-01-26 14:09:36 pid:3786 worker[YourAppGateway:4108] exit with status 65280
2020-01-26 14:09:36 pid:3786 worker[YourAppGateway:4109] exit with status 65280
2020-01-26 14:09:36 pid:3786 worker[Register:4110] exit with status 65280
2020-01-26 14:09:36 pid:3786 worker[YourAppGateway:4111] exit with status 65280
2020-01-26 14:09:36 pid:3786 worker[YourAppGateway:4112] exit with status 65280
2020-01-26 14:09:36 pid:3786 worker[YourAppGateway:4113] exit with status 65280
2020-01-26 14:09:36 pid:3786 worker[YourAppGateway:4114] exit with status 65280
2020-01-26 14:09:36 pid:3786 worker[Register:4115] exit with status 65280
2020-01-26 14:09:36 pid:3786 worker[YourAppGateway:4116] exit with status 65280
2020-01-26 14:09:36 pid:3786 worker[YourAppGateway:4117] exit with status 65280
2020-01-26 14:09:36 pid:3786 worker[YourAppGateway:4118] exit with status 65280
2020-01-26 14:09:36 pid:3786 worker[YourAppGateway:4119] exit with status 65280
